BioSamples,Tissue,Chemotype,Cultivar,Treatment,Pubmed,BioProject,Instrument,Layout,Selection_method,SRA_sample,SRA_study,Study_title,Study_abstract,Date,Origin
SAMN30472535,Flower_female,Type III,DMG265,NA,NA,PRJNA872904,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS14880416,SRP394817,Cannabis sativa  Raw sequence reads,normal Raw sequence reads of Cannabis sativa,2023-09-01 00:06:14,"China:Changsha Hunan province,Institute of Bast Fiber Crops,Chinese Academy of Agricultural Sciences"
SAMN30472534,Flower_female,Type III,DMG265,NA,NA,PRJNA872904,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS14880415,SRP394817,Cannabis sativa  Raw sequence reads,normal Raw sequence reads of Cannabis sativa,2023-09-01 00:06:14,"China:Changsha Hunan province,Institute of Bast Fiber Crops,Chinese Academy of Agricultural Sciences"
SAMN30472533,Flower_female,Type III,DMG265,NA,NA,PRJNA872904,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS14880414,SRP394817,Cannabis sativa  Raw sequence reads,normal Raw sequence reads of Cannabis sativa,2023-09-01 00:06:14,"China:Changsha Hunan province,Institute of Bast Fiber Crops,Chinese Academy of Agricultural Sciences"
SAMN30472532,Flower_female,Type III,DMG265,NA,NA,PRJNA872904,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS14880413,SRP394817,Cannabis sativa  Raw sequence reads,normal Raw sequence reads of Cannabis sativa,2023-09-01 00:06:14,"China:Changsha Hunan province,Institute of Bast Fiber Crops,Chinese Academy of Agricultural Sciences"
SAMN30472531,Flower_female,Type III,DMG265,NA,NA,PRJNA872904,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS14880412,SRP394817,Cannabis sativa  Raw sequence reads,normal Raw sequence reads of Cannabis sativa,2023-09-01 00:06:14,"China:Changsha Hunan province,Institute of Bast Fiber Crops,Chinese Academy of Agricultural Sciences"
SAMN26429400,Root,Type III,Jindao-15,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262994,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429399,Root,Type III,Jindao-15,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262993,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429398,Root,Type III,Jindao-15,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262992,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429397,Root,Type III,Jindao-15,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262991,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429396,Root,Type III,Huoma no. 1,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262990,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429395,Root,Type III,Huoma no. 1,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262989,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429394,Root,Type III,Huoma no. 1,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262988,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429393,Root,Type III,Huoma no. 1,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262987,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429402,Root,Type III,Jindao-15,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262986,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429401,Root,Type III,Jindao-15,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262985,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429392,Root,Type III,Huoma no. 1,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262984,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN26429391,Root,Type III,Huoma no. 1,NA,NA,PRJNA813212,Illumina NovaSeq 6000,PAIRED,Oligo-dT,SRS12262983,SRP363901,Cannabis sativa Raw sequence reads,The transcriptome of saline-alkaline resistant industrial hemp (Cannabis sativa L) exposed to NaHCO3 stress,2022-04-01 00:38:49,China:Daqing
SAMN25390694,Stem,NA,Cannabis sativa,NA,NA,PRJNA801785,Illumina NovaSeq 6000,PAIRED,RANDOM,SRS11817535,SRP357349,The stem of Cannabis sativa Raw sequence reads,NA,2022-01-29 09:37:57,China
SAMN25382749,Root,NA,Cannabis sativa,NA,NA,PRJNA801772,Illumina NovaSeq 6000,PAIRED,RANDOM,SRS11817226,SRP357330,The root of Cannabis sativa Raw sequence reads,NA,2022-01-29 08:14:52,China
SAMN25378902,Leaf,NA,Cannabis sativa,NA,NA,PRJNA801768,Illumina NovaSeq 6000,PAIRED,RANDOM,SRS11817225,SRP357329,The leaf of Cannabis sativa Raw sequence reads,NA,2022-01-29 07:13:46,China
SAMN23482328,Leaf,NA,Cannabis sativa,NA,NA,PRJNA784323,Illumina HiSeq X,PAIRED,RANDOM,SRS11174691,SRP348349,Cannabis sativa 3 Raw sequence reads,NA,2021-11-29 09:37:41,China
SAMN22741319,Mixed,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS10777953,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN22498555,Leaf,NA,Cannabis sativa,NA,NA,PRJNA773629,Illumina HiSeq 4000,PAIRED,RANDOM,SRS10697162,SRP342876,Cannabis sativa Raw sequence reads,CircRNA clean data from Cannabis sativa stems,2021-10-24 02:16:49,China: NanNing
SAMN20863695,Flower_male,Type III,Feral_variety,NA,NA,PRJNA756306,NextSeq 550,PAIRED,cDNA,SRS9842047,SRP333369,Genetic variation in feral hemp populations across the Nebraska climate gradient,"The objective in this study was to develop and characterize the chemistry and genetics of a collection of feral hemp germplasm from across Nebraska for use in a hemp breeding program. An additional goal was to compare the chemistry and genetics of male and female flower structures. RNA was extracted from isolated, dissected flower tissue of one female and one male plant from each of three populations (total six samples). These plants were derived from seeds collected in Knox, Madison, and Merrick counties. Illumina reads were obtained from the RNA extracts, mapped onto a C. sativa reference genome, and gene expression levels were determined. Overall design: mRNAs in female and male flower tissues",2022-03-03 18:55:21,NA
SAMN20863694,Flower_male,Type III,Feral_variety,NA,NA,PRJNA756306,NextSeq 550,PAIRED,cDNA,SRS9842046,SRP333369,Genetic variation in feral hemp populations across the Nebraska climate gradient,"The objective in this study was to develop and characterize the chemistry and genetics of a collection of feral hemp germplasm from across Nebraska for use in a hemp breeding program. An additional goal was to compare the chemistry and genetics of male and female flower structures. RNA was extracted from isolated, dissected flower tissue of one female and one male plant from each of three populations (total six samples). These plants were derived from seeds collected in Knox, Madison, and Merrick counties. Illumina reads were obtained from the RNA extracts, mapped onto a C. sativa reference genome, and gene expression levels were determined. Overall design: mRNAs in female and male flower tissues",2022-03-03 18:55:21,NA
SAMN20863693,Flower_male,Type III,Feral_variety,NA,NA,PRJNA756306,NextSeq 550,PAIRED,cDNA,SRS9842045,SRP333369,Genetic variation in feral hemp populations across the Nebraska climate gradient,"The objective in this study was to develop and characterize the chemistry and genetics of a collection of feral hemp germplasm from across Nebraska for use in a hemp breeding program. An additional goal was to compare the chemistry and genetics of male and female flower structures. RNA was extracted from isolated, dissected flower tissue of one female and one male plant from each of three populations (total six samples). These plants were derived from seeds collected in Knox, Madison, and Merrick counties. Illumina reads were obtained from the RNA extracts, mapped onto a C. sativa reference genome, and gene expression levels were determined. Overall design: mRNAs in female and male flower tissues",2022-03-03 18:55:21,NA
SAMN20863692,Flower_female,Type III,Feral_variety,NA,NA,PRJNA756306,NextSeq 550,PAIRED,cDNA,SRS9842044,SRP333369,Genetic variation in feral hemp populations across the Nebraska climate gradient,"The objective in this study was to develop and characterize the chemistry and genetics of a collection of feral hemp germplasm from across Nebraska for use in a hemp breeding program. An additional goal was to compare the chemistry and genetics of male and female flower structures. RNA was extracted from isolated, dissected flower tissue of one female and one male plant from each of three populations (total six samples). These plants were derived from seeds collected in Knox, Madison, and Merrick counties. Illumina reads were obtained from the RNA extracts, mapped onto a C. sativa reference genome, and gene expression levels were determined. Overall design: mRNAs in female and male flower tissues",2022-03-03 18:55:21,NA
SAMN20863691,Flower_female,Type III,Feral_variety,NA,NA,PRJNA756306,NextSeq 550,PAIRED,cDNA,SRS9842043,SRP333369,Genetic variation in feral hemp populations across the Nebraska climate gradient,"The objective in this study was to develop and characterize the chemistry and genetics of a collection of feral hemp germplasm from across Nebraska for use in a hemp breeding program. An additional goal was to compare the chemistry and genetics of male and female flower structures. RNA was extracted from isolated, dissected flower tissue of one female and one male plant from each of three populations (total six samples). These plants were derived from seeds collected in Knox, Madison, and Merrick counties. Illumina reads were obtained from the RNA extracts, mapped onto a C. sativa reference genome, and gene expression levels were determined. Overall design: mRNAs in female and male flower tissues",2022-03-03 18:55:21,NA
SAMN20863690,Flower_female,Type III,Feral_variety,NA,NA,PRJNA756306,NextSeq 550,PAIRED,cDNA,SRS9842042,SRP333369,Genetic variation in feral hemp populations across the Nebraska climate gradient,"The objective in this study was to develop and characterize the chemistry and genetics of a collection of feral hemp germplasm from across Nebraska for use in a hemp breeding program. An additional goal was to compare the chemistry and genetics of male and female flower structures. RNA was extracted from isolated, dissected flower tissue of one female and one male plant from each of three populations (total six samples). These plants were derived from seeds collected in Knox, Madison, and Merrick counties. Illumina reads were obtained from the RNA extracts, mapped onto a C. sativa reference genome, and gene expression levels were determined. Overall design: mRNAs in female and male flower tissues",2022-03-03 18:55:21,NA
SAMN20474458,Seed,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9634291,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN20474457,Seed,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9634290,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN20474456,Seed,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9634289,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN20474455,Root,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9634288,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN20474454,Root,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9634287,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN20474453,Root,Type III,diname kush cbd,NA,37224907,PRJNA663214,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9634286,SRP282262,Cannabis sativa Transcriptome,Diname Kush CBD Transcriptome(stem leaf flower),2023-05-26 11:13:44,missing
SAMN19731531,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223849,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN19731532,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223847,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:01:06,Canada: Moncton
SAMN19731544,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223848,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:35:27,Canada: Moncton
SAMN19731533,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223845,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN19731534,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223844,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:09:58,Canada: Moncton
SAMN19731538,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223843,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN19731539,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223842,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:35:27,Canada: Moncton
SAMN19731540,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223841,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN19731537,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223840,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN19731535,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223838,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:01:06,Canada: Moncton
SAMN19731543,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223836,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN19731542,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223835,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:01:06,Canada: Moncton
SAMN19731541,Leaf,Type I,Pineapple Express,NA,NA,PRJNA738505,Illumina HiSeq 2500,PAIRED,RANDOM,SRS9223837,SRP324348,Cannabis sativa inoculated with Golovinomyces ambrosiae - RNAseq,"Measuring the transcriptomic response of Cannabis sativa, cultivar Pineapple Express, upon inoculation with spores Golovinomyces ambrosiae emend. (including G. spadiceus) will improve the general understanding of the mechanisms of i) the infection by the pathogen and ii) the defense response of the plant. Such knowledge will unlock the power to create new control strategies for this widespread pathogen in the cannabis industry.",2021-06-17 02:23:57,Canada: Moncton
SAMN18114856,Stem,Type I,Headband,NA,NA,PRJNA706039,Illumina HiSeq 2500,PAIRED,Oligo-dT,SRS8784328,SRP316620,RNA-Seq of the trichomes of 5 Cannabis Cultivars and stem,"The study seeks to uncover the transcriptomic rewiring of the primary and secondary metabolic pathways in the trichomes of 5 Cannabis cultivars, by comparing them to gene expressions in the stem tissue.",2022-03-31 00:04:35,USA: California
SAMN18114855,Trichome,Type I,Ghost OG X 'nothing but Kush' (NBK),NA,NA,PRJNA706039,Illumina HiSeq 2500,PAIRED,Oligo-dT,SRS8784327,SRP316620,RNA-Seq of the trichomes of 5 Cannabis Cultivars and stem,"The study seeks to uncover the transcriptomic rewiring of the primary and secondary metabolic pathways in the trichomes of 5 Cannabis cultivars, by comparing them to gene expressions in the stem tissue.",2022-03-31 00:04:35,USA: California
SAMN18114854,Trichome,Type I,Tahoe OG X 'nothing but Kush' (NBK),NA,NA,PRJNA706039,Illumina HiSeq 2500,PAIRED,Oligo-dT,SRS8784326,SRP316620,RNA-Seq of the trichomes of 5 Cannabis Cultivars and stem,"The study seeks to uncover the transcriptomic rewiring of the primary and secondary metabolic pathways in the trichomes of 5 Cannabis cultivars, by comparing them to gene expressions in the stem tissue.",2022-03-31 00:04:35,USA: California
SAMN18114853,Trichome,Type I,Headband,NA,NA,PRJNA706039,Illumina HiSeq 2500,PAIRED,Oligo-dT,SRS8784325,SRP316620,RNA-Seq of the trichomes of 5 Cannabis Cultivars and stem,"The study seeks to uncover the transcriptomic rewiring of the primary and secondary metabolic pathways in the trichomes of 5 Cannabis cultivars, by comparing them to gene expressions in the stem tissue.",2022-03-31 00:04:35,USA: California
SAMN18114852,Trichome,Type I,Chemdawg,NA,NA,PRJNA706039,Illumina HiSeq 2500,PAIRED,Oligo-dT,SRS8784324,SRP316620,RNA-Seq of the trichomes of 5 Cannabis Cultivars and stem,"The study seeks to uncover the transcriptomic rewiring of the primary and secondary metabolic pathways in the trichomes of 5 Cannabis cultivars, by comparing them to gene expressions in the stem tissue.",2022-03-31 00:04:35,USA: California
SAMN18114851,Trichome,Type I,Westside OG,NA,NA,PRJNA706039,Illumina HiSeq 2500,PAIRED,Oligo-dT,SRS8784323,SRP316620,RNA-Seq of the trichomes of 5 Cannabis Cultivars and stem,"The study seeks to uncover the transcriptomic rewiring of the primary and secondary metabolic pathways in the trichomes of 5 Cannabis cultivars, by comparing them to gene expressions in the stem tissue.",2022-03-31 00:04:35,USA: California
SAMN17847963,Mixed,Type III,Inner Mongolia hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226085,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847962,Mixed,Type III,Inner Mongolia hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226084,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847961,Mixed,Type III,Inner Mongolia hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226083,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847960,Mixed,Type III,Inner Mongolia hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226082,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847959,Mixed,Type III,Yunnan hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226081,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847958,Mixed,Type III,Yunnan hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226080,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847957,Mixed,Type III,Yunnan hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226079,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847956,Mixed,Type III,Yunnan hemp3,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226078,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847965,Mixed,Type III,Inner Mongolia hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226077,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:07,China: changsha
SAMN17847964,Mixed,Type III,Inner Mongolia hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226076,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:06,China: changsha
SAMN17847955,Mixed,Type III,Yunnan hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226075,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:06,China: changsha
SAMN17847954,Mixed,Type III,Yunnan hemp,NA,NA,PRJNA701120,Illumina HiSeq 2000,PAIRED,RANDOM,SRS8226074,SRP305591,Cannabis sativa L. transcriptome,Cannabis sativa L. cadmium stress transcriptome data,2021-03-08 00:00:06,China: changsha
SAMN16576036,Root,Type III,Huoma no. 1,NA,NA,PRJNA672722,Illumina HiSeq 2500,PAIRED,RT-PCR,SRS7643301,SRP291051,Transcriptome Saline-alkali resistant Industrial hemp (Cannabis sativa L) variety exposed to NaHCO3 stress,"To obtain insights into the molecular mechanisms of alkaline salt tolerance, the transcriptome analysis of roots of industrial hemp was performed to identify the genes associated with the alkali tolerance. This is significant for the industrial hemp breeding and improvement of industrial hemp yield and quality of alkali-resistant industrial hemp.",2020-12-30 00:02:29,China:Daqing
SAMN16576035,Root,Type III,Huoma no. 1,NA,NA,PRJNA672722,Illumina HiSeq 2500,PAIRED,RT-PCR,SRS7643300,SRP291051,Transcriptome Saline-alkali resistant Industrial hemp (Cannabis sativa L) variety exposed to NaHCO3 stress,"To obtain insights into the molecular mechanisms of alkaline salt tolerance, the transcriptome analysis of roots of industrial hemp was performed to identify the genes associated with the alkali tolerance. This is significant for the industrial hemp breeding and improvement of industrial hemp yield and quality of alkali-resistant industrial hemp.",2020-12-30 00:02:29,China:Daqing
SAMN16576034,Root,Type III,Huoma no. 1,NA,NA,PRJNA672722,Illumina HiSeq 2500,PAIRED,RT-PCR,SRS7643299,SRP291051,Transcriptome Saline-alkali resistant Industrial hemp (Cannabis sativa L) variety exposed to NaHCO3 stress,"To obtain insights into the molecular mechanisms of alkaline salt tolerance, the transcriptome analysis of roots of industrial hemp was performed to identify the genes associated with the alkali tolerance. This is significant for the industrial hemp breeding and improvement of industrial hemp yield and quality of alkali-resistant industrial hemp.",2020-12-30 00:02:29,China:Daqing
